# DO NOT EDIT THIS FILE MANUALLY.
# Use the CLI instead:
#
#    yarn content add-redirect <fromURL> <toURL>
#
# FROM-URL	TO-URL
/nl/docs/AJAX	/nl/docs/Web/Guide/AJAX
/nl/docs/CSS	/nl/docs/Web/CSS
/nl/docs/CSS/Voor_Beginners	/nl/docs/Learn/CSS/First_steps
/nl/docs/CSS:Voor_Beginners	/nl/docs/Learn/CSS/First_steps
/nl/docs/Compatibiliteitstabel_voor_formulierelementen	/nl/docs/Learn/Forms/Property_compatibility_table_for_form_controls
/nl/docs/DOM	/nl/docs/conflicting/Web/API/Document_Object_Model
/nl/docs/DOM/Storage	/nl/docs/Web/API/Web_Storage_API
/nl/docs/Firefox_1.5_Beta_voor_ontwikkelaars	/nl/docs/Mozilla/Firefox/Releases/1.5
/nl/docs/Firefox_1.5_voor_ontwikkelaars	/nl/docs/Mozilla/Firefox/Releases/1.5
/nl/docs/Gebruik_maken_van_DOM_workers	/nl/docs/Web/API/Web_Workers_API/Using_web_workers
/nl/docs/Glossary/Abstractie	/nl/docs/Glossary/Abstraction
/nl/docs/Glossary/Asynchroon	/nl/docs/Glossary/Asynchronous
/nl/docs/Glossary/Leeg_element	/nl/docs/Glossary/Empty_element
/nl/docs/Glossary/SSL_Woordenlijst	/nl/docs/Glossary/SSL
/nl/docs/Glossary/Sleutelwoord	/nl/docs/Glossary/Keyword
/nl/docs/Glossary/Toegankelijkheid	/nl/docs/Glossary/Accessibility
/nl/docs/Glossary/Waarachtig	/nl/docs/Glossary/Truthy
/nl/docs/HTML	/nl/docs/Web/HTML
/nl/docs/HTML/Element	/nl/docs/Web/HTML/Element
/nl/docs/HTML/Element/b	/nl/docs/Web/HTML/Element/b
/nl/docs/HTML/HTML_Tags	/nl/docs/Web/HTML/Element
/nl/docs/HTML/HTML_Tags/p	/nl/docs/Web/HTML/Element/p
/nl/docs/HTML:HTML_Tags	/nl/docs/Web/HTML/Element
/nl/docs/Hoofdpagina	/nl/docs/Web
/nl/docs/IndexedDB	/nl/docs/Web/API/IndexedDB_API
/nl/docs/JavaScript	/nl/docs/Web/JavaScript
/nl/docs/JavaScript/Aan_de_slag	/nl/docs/conflicting/Learn/Getting_started_with_the_web/JavaScript_basics
/nl/docs/Learn/CSS/CSS_layout/Positionering	/nl/docs/Learn/CSS/CSS_layout/Positioning
/nl/docs/Learn/CSS/Introduction_to_CSS	/en-US/docs/Learn/CSS/First_steps
/nl/docs/Learn/CSS/Introduction_to_CSS/Attribuut_selectoren	/en-US/docs/Learn/CSS/Building_blocks/Selectors/Attribute_selectors
/nl/docs/Learn/CSS/Introduction_to_CSS/CSS_Debuggen	/en-US/docs/Learn/CSS/Building_blocks/Debugging_CSS
/nl/docs/Learn/CSS/Introduction_to_CSS/Combinatoren_en_meervoudige_selectoren	/en-US/docs/Learn/CSS/Building_blocks/Selectors/Combinators
/nl/docs/Learn/CSS/Introduction_to_CSS/Hoe_CSS_werkt	/en-US/docs/Learn/CSS/First_steps/How_CSS_works
/nl/docs/Learn/CSS/Introduction_to_CSS/Pseudo-klassen_en_pseudo-elementen	/en-US/docs/Learn/CSS/Building_blocks/Selectors/Pseudo-classes_and_pseudo-elements
/nl/docs/Learn/CSS/Introduction_to_CSS/Selectoren	/en-US/docs/Learn/CSS/Building_blocks/Selectors
/nl/docs/Learn/CSS/Introduction_to_CSS/Simple_selectors	/en-US/docs/Learn/CSS/Building_blocks/Selectors/Type_Class_and_ID_Selectors
/nl/docs/Learn/CSS/Introduction_to_CSS/Syntax	/en-US/docs/Learn/CSS/First_steps/How_CSS_is_structured
/nl/docs/Learn/CSS/Introduction_to_CSS/Waarden_en_eenheden	/en-US/docs/Learn/CSS/Building_blocks/Values_and_units
/nl/docs/Learn/CSS/Introduction_to_CSS/Waterval_en_overerving	/en-US/docs/Learn/CSS/Building_blocks/Cascade_and_inheritance
/nl/docs/Learn/CSS/Introduction_to_CSS/doosmodel	/en-US/docs/Learn/CSS/Building_blocks/The_box_model
/nl/docs/Learn/Getting_started_with_the_web/Basis_software_installeren	/nl/docs/Learn/Getting_started_with_the_web/Installing_basic_software
/nl/docs/Learn/Getting_started_with_the_web/Bestanden_beheren	/nl/docs/Learn/Getting_started_with_the_web/Dealing_with_files
/nl/docs/Learn/Getting_started_with_the_web/CSS_basisbegrippen	/nl/docs/Learn/Getting_started_with_the_web/CSS_basics
/nl/docs/Learn/Getting_started_with_the_web/HTML_basisbegrippen	/nl/docs/Learn/Getting_started_with_the_web/HTML_basics
/nl/docs/Learn/Getting_started_with_the_web/Hoe_gaat_jouw_website_er_uit_zien	/nl/docs/Learn/Getting_started_with_the_web/What_will_your_website_look_like
/nl/docs/Learn/Getting_started_with_the_web/Hoe_werkt_het_web	/nl/docs/Learn/Getting_started_with_the_web/How_the_Web_works
/nl/docs/Learn/Getting_started_with_the_web/Publicatie_website	/nl/docs/Learn/Getting_started_with_the_web/Publishing_your_website
/nl/docs/Learn/HTML/Forms	/nl/docs/Learn/Forms
/nl/docs/Learn/HTML/Forms/Geavanceerde_styling_van_HTML-formulieren	/nl/docs/Learn/Forms/Advanced_form_styling
/nl/docs/Learn/HTML/Forms/How_to_structure_an_HTML_form	/nl/docs/Learn/Forms/How_to_structure_a_web_form
/nl/docs/Learn/HTML/Forms/My_first_HTML_form	/nl/docs/Learn/Forms/Your_first_form
/nl/docs/Learn/HTML/Forms/Styling_HTML_forms	/nl/docs/Learn/Forms/Styling_web_forms
/nl/docs/Learn/HTML/Forms/The_native_form_widgets	/nl/docs/Learn/Forms/Basic_native_form_controls
/nl/docs/Learn/HTML/Forms/Verzenden_van_formuliergegevens	/nl/docs/Learn/Forms/Sending_and_retrieving_form_data
